N,P,K,ph,temperature,humidity,rainfall,soil,label
72.42,15.92,55.71,6.66,24.11,66.35,173.46,new alluvial,brinjal
105.35,41.44,40.1,6.13,23.52,59.71,170.41,sandy loam,brinjal
91.81,32.88,67.69,6.33,24.14,54.94,155.81,new alluvial,brinjal
105.58,19.11,68.99,6.38,22.52,64.3,157.37,sandy loam,brinjal
92.86,42.37,22.78,5.24,26.47,83.05,143.37,alluvial,brinjal
94.63,32.05,71.36,6.24,23.1,69.29,145.73,new alluvial,brinjal
88.9,29.61,65.65,6.41,22.67,71.9,161.29,sandy loam,brinjal
94.66,33.94,49.05,6.09,24.86,58.88,116.53,sandy loam,brinjal
110.84,24.42,53.37,6.71,24.16,74.71,158.72,sandy loam,brinjal
101.19,22.46,66.68,6.42,24.41,64.42,127.39,sandy loam,brinjal
98.41,27.96,37.66,6.47,19.73,52.19,185.14,new alluvial,brinjal
92.66,20.85,42.22,6.78,23.63,65.47,157.95,new alluvial,brinjal
96.49,34.16,33.54,6.53,22.63,60.51,153.67,new alluvial,brinjal
90.23,26.75,50.12,6.21,23.35,60.74,175.08,sandy loam,brinjal
93.18,30.99,55.29,6.84,22.11,67.72,197.2,new alluvial,brinjal
103.61,23.38,71.1,6.26,23.93,69.53,202.35,sandy loam,brinjal
90.85,34.36,41.69,6.95,24.3,63.75,127.6,sandy loam,brinjal
99.0,18.76,61.59,6.36,21.63,70.69,138.72,new alluvial,brinjal
113.06,35.76,61.53,6.19,22.59,67.61,167.09,new alluvial,brinjal
108.42,26.79,63.95,6.37,20.48,69.57,143.54,sandy loam,brinjal
102.45,29.72,38.0,6.3,20.75,59.51,121.69,new alluvial,brinjal
93.23,34.09,75.0,6.41,23.92,60.43,117.36,sandy loam,brinjal
94.34,24.36,45.32,6.62,23.98,65.28,160.88,new alluvial,brinjal
90.2,22.16,53.39,6.6,24.4,78.01,129.88,new alluvial,brinjal
112.18,31.83,66.48,5.88,22.94,71.03,156.72,sandy loam,brinjal
76.39,23.44,72.77,6.29,20.56,63.17,143.7,new alluvial,brinjal
109.81,25.83,52.71,6.35,22.94,63.61,174.8,new alluvial,brinjal
99.86,28.05,64.48,5.95,21.61,71.25,171.51,new alluvial,brinjal
85.38,26.55,62.95,6.36,22.0,70.1,172.8,sandy loam,brinjal
104.67,30.46,38.59,6.6,23.22,62.58,163.56,sandy loam,brinjal
107.11,33.14,57.92,5.97,20.46,69.08,162.51,new alluvial,brinjal
95.66,38.07,53.91,6.73,25.55,65.29,156.4,new alluvial,brinjal
97.71,33.27,42.04,7.14,26.83,52.24,137.05,new alluvial,brinjal
100.71,25.22,40.36,6.49,19.91,68.16,179.97,new alluvial,brinjal
91.13,26.69,56.05,6.21,22.07,64.92,145.28,new alluvial,brinjal
118.96,14.93,46.68,6.09,18.33,67.41,198.01,new alluvial,brinjal
98.6,31.66,63.06,6.61,25.26,74.52,146.25,new alluvial,brinjal
91.3,31.92,54.9,6.3,20.92,58.26,187.38,sandy loam,brinjal
85.21,35.55,54.56,6.45,22.66,63.3,125.31,new alluvial,brinjal
107.67,30.78,50.57,6.24,24.61,63.66,178.0,sandy loam,brinjal
80.55,32.82,55.57,6.73,23.76,59.88,170.85,sandy loam,brinjal
103.28,39.16,44.91,6.6,21.99,71.28,152.03,new alluvial,brinjal
104.57,38.54,47.07,6.49,24.14,69.44,154.34,new alluvial,brinjal
113.44,24.58,55.04,6.75,21.47,67.74,156.23,new alluvial,brinjal
100.28,43.78,58.39,6.69,22.38,71.53,145.89,sandy loam,brinjal
93.62,21.79,70.41,6.53,21.71,64.44,148.49,sandy loam,brinjal
111.37,21.68,37.73,6.27,23.44,64.16,168.32,new alluvial,brinjal
100.76,29.86,61.09,6.19,25.31,61.02,147.42,sandy loam,brinjal
95.66,43.85,61.84,6.72,21.34,68.36,159.07,new alluvial,brinjal
91.75,25.79,65.72,6.71,26.88,66.05,124.07,new alluvial,brinjal
104.28,36.78,63.33,6.62,23.34,72.67,158.91,new alluvial,brinjal
94.52,25.52,44.9,6.23,22.77,60.61,137.46,new alluvial,brinjal
85.99,34.88,43.26,6.3,22.89,64.59,146.45,new alluvial,brinjal
89.88,27.83,47.46,7.12,22.52,70.56,137.52,sandy loam,brinjal
91.26,22.0,55.37,6.35,24.03,70.37,149.52,new alluvial,brinjal
96.38,24.41,50.38,5.97,23.17,56.77,176.06,new alluvial,brinjal
90.65,24.59,59.73,6.5,22.09,63.81,160.74,new alluvial,brinjal
88.59,32.53,49.78,6.21,21.6,74.52,174.87,new alluvial,brinjal
100.97,25.11,49.02,6.02,22.89,63.93,181.78,sandy loam,brinjal
112.67,31.49,62.66,6.53,23.45,60.87,165.25,new alluvial,brinjal
119.52,20.9,64.35,5.98,24.32,71.17,186.46,new alluvial,brinjal
88.56,33.63,45.93,5.62,25.89,72.15,172.57,sandy loam,brinjal
100.27,31.77,45.66,6.6,24.68,66.82,125.05,sandy loam,brinjal
107.28,25.16,53.13,6.2,23.54,62.99,160.32,new alluvial,brinjal
97.9,21.02,64.64,5.96,24.89,68.36,172.39,new alluvial,brinjal
111.67,31.95,53.96,6.18,23.43,61.26,160.54,new alluvial,brinjal
93.36,34.0,74.09,6.3,22.27,66.17,138.09,sandy loam,brinjal
92.1,26.17,50.94,6.64,22.05,70.15,148.31,sandy loam,brinjal
94.31,32.03,69.09,6.32,24.34,62.29,139.71,new alluvial,brinjal
74.78,26.3,39.98,6.37,22.94,63.64,195.69,new alluvial,brinjal
109.23,23.46,56.27,5.93,24.94,65.16,111.04,new alluvial,brinjal
90.54,31.92,39.84,6.77,24.78,71.56,188.01,new alluvial,brinjal
107.17,19.75,52.3,5.87,22.68,70.5,157.44,sandy loam,brinjal
97.77,23.9,56.55,5.86,25.89,57.77,150.23,new alluvial,brinjal
111.57,39.62,49.07,6.14,26.46,55.73,155.1,new alluvial,brinjal
100.6,18.78,51.44,5.95,23.14,57.67,151.74,new alluvial,brinjal
83.04,30.61,45.07,6.44,23.25,69.48,129.43,sandy loam,brinjal
101.72,28.82,54.13,6.17,24.47,62.94,157.2,sandy loam,brinjal
116.08,36.12,65.4,6.63,23.7,66.77,141.53,sandy loam,brinjal
102.35,31.16,50.6,6.43,26.66,61.23,149.43,new alluvial,brinjal
102.61,32.38,66.32,5.88,23.94,78.22,172.42,new alluvial,brinjal
112.89,38.09,57.79,5.86,24.98,65.74,150.36,sandy loam,brinjal
96.85,34.57,62.29,6.33,24.47,65.43,136.33,sandy loam,brinjal
95.19,29.9,56.74,6.5,23.45,61.24,147.74,new alluvial,brinjal
84.72,39.0,61.71,7.03,25.92,61.42,169.51,sandy loam,brinjal
113.45,25.99,39.93,6.35,21.31,67.56,131.41,new alluvial,brinjal
90.75,26.29,71.56,6.62,24.75,76.67,137.03,sandy loam,brinjal
113.75,20.52,57.75,6.35,24.44,69.71,169.96,sandy loam,brinjal
79.53,26.73,60.14,6.45,26.02,64.79,179.8,new alluvial,brinjal
116.03,24.74,41.52,6.69,19.63,60.4,153.69,new alluvial,brinjal
102.35,27.32,42.19,6.56,23.15,73.55,179.46,clay loam,brinjal
89.49,29.87,43.92,6.42,23.18,60.1,123.54,new alluvial,brinjal
102.6,24.23,54.99,6.73,26.51,67.75,161.23,new alluvial,brinjal
109.76,31.45,59.34,5.99,23.0,66.97,212.48,sandy loam,brinjal
122.27,31.75,56.16,6.69,20.1,62.61,127.02,new alluvial,brinjal
79.79,28.63,40.99,6.34,22.05,65.63,151.39,sandy loam,brinjal
93.51,32.03,61.02,6.31,23.59,65.0,139.93,new alluvial,brinjal
110.51,31.84,67.12,6.62,25.48,64.59,146.84,new alluvial,brinjal
99.02,29.82,58.16,6.68,24.76,66.44,173.08,new alluvial,brinjal
118.74,26.39,49.25,6.35,21.5,68.72,134.13,sandy loam,brinjal
101.34,34.28,62.18,6.58,22.71,72.69,163.32,new alluvial,brinjal
81.94,34.44,58.84,6.45,23.81,65.22,146.11,sandy loam,brinjal
92.28,38.15,66.58,6.81,22.5,63.01,121.83,sandy loam,brinjal
83.94,33.43,59.95,6.79,26.08,62.62,138.67,new alluvial,brinjal
96.3,26.36,65.36,7.24,21.54,67.74,156.62,sandy loam,brinjal
114.3,26.85,55.32,6.33,21.22,68.76,154.17,new alluvial,brinjal
97.56,21.21,59.08,6.23,22.74,66.33,131.69,new alluvial,brinjal
118.66,36.1,66.74,6.35,23.09,70.75,155.11,new alluvial,brinjal
95.24,32.31,48.96,6.35,24.79,60.22,172.84,sandy loam,brinjal
112.01,26.51,32.38,6.26,24.58,68.31,159.28,new alluvial,brinjal
101.21,33.97,45.88,6.18,22.27,66.89,149.23,new alluvial,brinjal
79.83,30.63,42.68,6.28,23.96,60.66,155.24,new alluvial,brinjal
108.41,29.36,55.6,6.27,24.21,65.99,155.79,sandy loam,brinjal
103.07,31.78,69.14,6.48,23.72,66.24,141.59,new alluvial,brinjal
86.55,26.86,61.82,6.76,23.12,64.56,133.34,sandy loam,brinjal
104.43,27.06,50.49,6.35,22.31,63.13,171.33,new alluvial,brinjal
107.87,23.61,63.41,6.09,23.18,67.9,129.51,new alluvial,brinjal
102.78,18.83,46.02,6.43,23.41,64.5,158.09,new alluvial,brinjal
107.37,40.36,53.16,6.75,19.63,72.3,145.23,new alluvial,brinjal
96.18,30.26,55.96,6.78,21.77,61.45,129.55,sandy loam,brinjal
103.29,28.89,56.67,6.81,22.67,63.41,140.4,new alluvial,brinjal
105.33,19.69,60.44,6.13,25.29,69.26,139.84,new alluvial,brinjal
98.38,25.42,60.44,6.0,24.59,68.27,145.59,sandy loam,brinjal
93.12,31.5,60.49,6.74,24.83,56.18,118.04,new alluvial,brinjal
96.8,30.3,57.23,6.18,22.04,68.71,134.97,new alluvial,brinjal
103.24,30.15,76.95,6.28,24.81,69.0,157.76,new alluvial,brinjal
94.13,31.38,52.1,6.94,20.25,68.77,149.02,new alluvial,brinjal
82.61,25.66,61.59,6.72,22.21,58.5,184.57,sandy loam,brinjal
109.86,28.29,66.91,6.72,23.92,69.96,142.39,new alluvial,brinjal
121.78,28.73,62.56,6.12,23.66,57.73,135.61,new alluvial,brinjal
98.29,27.27,46.28,6.27,22.01,63.22,187.56,new alluvial,brinjal
103.5,23.29,61.32,6.34,23.13,64.67,131.07,new alluvial,brinjal
105.43,27.74,56.86,6.61,23.84,70.08,133.44,new alluvial,brinjal
108.47,28.21,51.59,6.5,24.79,64.24,173.2,new alluvial,brinjal
96.75,26.65,54.44,6.32,25.18,61.51,155.61,sandy loam,brinjal
113.18,31.79,47.71,6.16,22.63,63.7,140.42,new alluvial,brinjal
96.96,36.49,65.76,6.28,20.57,65.99,157.22,sandy loam,brinjal
95.69,28.89,58.23,6.21,25.77,68.29,168.19,sandy loam,brinjal
106.37,26.52,69.59,6.39,24.2,66.59,133.52,new alluvial,brinjal
89.82,29.2,61.48,6.21,24.64,67.96,185.33,new alluvial,brinjal
85.04,32.63,60.63,5.87,22.26,64.7,128.69,new alluvial,brinjal
93.18,34.5,77.09,6.27,21.69,71.96,150.49,new alluvial,brinjal
62.8,44.63,65.76,6.81,22.49,64.12,166.56,clay loam,brinjal
82.72,30.56,39.6,6.61,25.92,61.35,115.35,new alluvial,brinjal
104.62,34.38,65.07,6.31,25.02,66.53,124.18,new alluvial,brinjal
97.52,35.02,48.3,5.79,23.35,64.28,132.85,new alluvial,brinjal
96.72,33.43,47.5,6.31,22.69,62.65,146.42,new alluvial,brinjal
92.87,28.88,51.56,6.33,23.41,57.93,123.59,new alluvial,brinjal
89.48,28.67,37.26,6.12,24.99,68.38,128.93,sandy loam,brinjal
110.52,36.0,66.42,6.66,21.24,76.91,136.2,new alluvial,brinjal
92.6,30.78,76.84,6.12,25.86,70.84,172.44,sandy loam,brinjal
99.13,29.01,49.45,6.21,25.61,65.6,158.37,sandy loam,brinjal
95.45,32.63,53.94,6.44,23.37,62.92,163.08,new alluvial,brinjal
97.43,31.69,71.32,6.25,21.36,71.74,167.12,sandy loam,brinjal
109.53,21.57,66.35,5.96,23.3,66.86,126.52,sandy loam,brinjal
100.42,36.66,60.59,6.58,23.97,57.92,158.88,new alluvial,brinjal
90.8,32.62,69.58,6.35,21.65,71.38,140.29,new alluvial,brinjal
113.65,33.63,54.8,6.65,22.57,70.74,164.07,new alluvial,brinjal
114.24,37.63,53.83,6.77,22.97,65.84,157.71,new alluvial,brinjal
99.2,31.02,47.9,6.09,21.53,85.58,146.38,peat,brinjal
97.51,26.29,51.9,7.24,22.94,74.38,154.58,sandy loam,brinjal
94.23,29.61,40.94,5.78,25.8,63.95,165.37,sandy loam,brinjal
83.74,26.2,44.53,6.44,23.0,62.35,175.21,sandy loam,brinjal
109.16,31.12,69.72,6.52,22.33,65.31,168.55,new alluvial,brinjal
127.02,32.19,71.57,6.03,22.18,70.28,145.44,new alluvial,brinjal
108.05,23.23,50.53,6.94,21.77,63.79,170.53,new alluvial,brinjal
95.83,34.25,54.73,6.53,25.06,68.58,138.8,new alluvial,brinjal
103.59,24.85,49.06,6.4,24.08,71.37,150.88,new alluvial,brinjal
115.17,30.48,61.6,5.8,22.26,71.37,169.73,new alluvial,brinjal
112.46,19.15,17.62,6.48,28.24,74.01,150.85,clay loam,brinjal
84.99,33.74,66.44,6.66,22.76,66.75,148.28,sandy loam,brinjal
115.1,36.07,53.66,6.24,25.24,62.02,154.26,new alluvial,brinjal
104.61,26.71,47.42,6.27,22.82,73.5,158.56,sandy loam,brinjal
96.48,28.21,79.16,5.92,24.21,63.72,147.24,new alluvial,brinjal
80.95,26.53,63.31,6.74,21.91,58.94,109.42,new alluvial,brinjal
96.42,35.26,34.88,6.3,21.46,70.16,177.31,new alluvial,brinjal
115.12,20.94,40.73,6.76,23.65,72.51,133.88,new alluvial,brinjal
104.38,21.72,34.32,6.32,23.18,65.14,144.93,new alluvial,brinjal
117.11,32.79,64.92,6.34,22.83,70.12,92.23,new alluvial,brinjal
100.72,31.78,74.74,6.6,25.71,72.02,135.48,new alluvial,brinjal
97.52,28.77,49.17,6.59,21.2,64.62,140.65,new alluvial,brinjal
86.65,26.84,38.16,6.37,21.95,66.63,139.49,new alluvial,brinjal
92.97,31.69,65.7,6.95,23.59,62.42,154.9,new alluvial,brinjal
104.96,19.66,53.53,6.33,22.75,65.16,136.47,new alluvial,brinjal
120.84,36.02,51.72,6.75,23.05,75.43,152.86,sandy loam,brinjal
101.85,23.88,50.54,7.29,22.25,64.63,146.68,new alluvial,brinjal
103.96,25.64,42.32,6.6,24.23,63.97,164.78,new alluvial,brinjal
92.2,20.71,60.39,6.16,24.61,66.65,127.75,new alluvial,brinjal
115.2,35.05,53.54,6.48,26.26,63.62,154.21,new alluvial,brinjal
100.23,29.59,48.55,6.7,22.64,60.92,149.92,new alluvial,brinjal
87.7,24.57,58.17,5.82,22.28,67.83,180.47,new alluvial,brinjal
93.52,31.92,49.97,6.13,22.14,64.97,151.29,sandy loam,brinjal
102.63,26.45,57.51,6.67,21.98,70.63,170.81,new alluvial,brinjal
84.03,23.14,60.66,5.86,23.67,62.63,132.15,new alluvial,brinjal
109.03,31.17,66.69,6.5,22.18,63.18,148.81,sandy loam,brinjal
102.79,23.77,67.32,6.34,23.1,72.46,114.11,sandy loam,brinjal
82.67,33.21,51.08,6.18,24.03,69.56,177.8,new alluvial,brinjal
93.68,28.49,44.32,6.31,24.87,67.99,163.27,new alluvial,brinjal
95.46,29.84,54.36,6.39,22.63,69.93,166.16,new alluvial,brinjal
102.85,27.52,46.27,6.8,23.75,67.4,139.73,new alluvial,brinjal
93.65,28.87,59.55,6.1,22.93,68.08,144.2,sandy loam,brinjal
84.9,29.54,71.87,6.46,25.32,63.92,163.81,sandy loam,brinjal
98.98,33.82,55.39,6.57,22.46,63.1,133.14,sandy loam,brinjal
107.1,27.09,56.12,5.93,21.61,63.02,161.95,new alluvial,brinjal
102.76,41.42,51.26,5.67,22.23,74.12,128.03,new alluvial,brinjal
117.29,23.72,49.7,6.11,25.86,62.0,151.62,sandy loam,brinjal
113.2,24.71,60.79,6.13,24.74,70.68,143.63,new alluvial,brinjal
106.99,29.76,63.61,6.36,23.33,55.63,169.04,new alluvial,brinjal
104.58,31.57,25.92,6.23,25.99,67.63,134.24,sandy loam,brinjal
100.65,32.88,71.71,6.47,22.02,64.58,159.91,new alluvial,brinjal
103.31,22.92,69.64,6.46,22.24,72.96,144.42,sandy loam,brinjal
107.41,36.07,63.15,6.44,23.06,67.05,148.27,sandy loam,brinjal
108.9,26.91,44.41,6.44,19.76,70.17,165.22,sandy loam,brinjal
101.47,30.03,52.62,5.83,24.38,75.57,153.51,sandy loam,brinjal
103.96,34.15,64.53,6.35,22.55,66.86,154.08,sandy loam,brinjal
110.88,33.57,84.84,6.26,17.39,66.07,144.03,peat,brinjal
95.82,18.1,47.15,6.27,23.43,65.15,150.27,sandy loam,brinjal
101.91,26.75,49.06,6.34,20.14,56.32,141.51,sandy loam,brinjal
91.53,38.57,51.23,6.57,24.44,65.16,140.05,new alluvial,brinjal
112.04,36.38,42.33,6.14,19.76,60.55,122.63,sandy loam,brinjal
85.25,28.39,60.62,6.21,22.91,65.0,138.96,new alluvial,brinjal
95.63,21.83,61.81,6.02,21.43,63.49,131.32,new alluvial,brinjal
104.96,39.55,32.25,6.13,23.72,62.12,207.54,peat,brinjal
95.28,23.93,48.14,6.8,24.05,68.62,169.5,new alluvial,brinjal
110.36,31.89,54.3,6.63,24.39,64.92,156.8,sandy loam,brinjal
88.27,39.44,67.39,6.58,24.53,69.59,162.38,sandy loam,brinjal
101.42,27.25,62.95,6.21,24.68,71.31,146.69,new alluvial,brinjal
83.37,38.12,65.36,6.0,23.39,72.45,140.91,new alluvial,brinjal
98.84,25.59,52.64,6.51,22.02,68.72,123.59,new alluvial,brinjal
117.4,23.05,39.83,6.58,22.55,65.08,162.23,sandy loam,brinjal
97.99,26.29,41.34,5.97,22.28,62.12,130.73,new alluvial,brinjal
100.44,29.38,62.35,6.29,24.17,76.5,162.8,new alluvial,brinjal
81.48,28.96,53.45,6.82,22.1,67.98,142.7,sandy loam,brinjal
99.34,26.35,70.56,5.99,24.19,66.91,128.54,new alluvial,brinjal
114.55,34.13,56.92,6.07,22.37,68.19,142.96,new alluvial,brinjal
111.14,29.39,41.32,6.57,25.31,59.07,161.74,new alluvial,brinjal
85.99,40.94,83.07,6.03,24.03,73.96,165.81,silty clay,brinjal
95.13,21.12,63.15,6.0,24.54,68.99,95.46,sandy loam,brinjal
102.83,20.07,58.99,6.56,23.53,63.76,158.06,new alluvial,brinjal
110.93,40.35,55.38,6.07,23.17,68.03,173.75,sandy loam,brinjal
104.14,27.01,58.44,6.66,20.97,71.25,152.44,sandy loam,brinjal
126.41,32.05,54.89,6.08,25.18,69.75,136.91,new alluvial,brinjal
101.28,24.69,42.25,6.49,23.78,69.23,173.67,new alluvial,brinjal
96.95,35.83,52.81,6.67,22.13,64.9,159.12,new alluvial,brinjal
113.84,35.35,52.04,6.91,23.61,53.33,131.9,new alluvial,brinjal
105.18,30.1,46.72,6.3,25.14,62.13,132.43,new alluvial,brinjal
110.76,36.1,56.92,6.17,21.3,60.66,149.08,sandy loam,brinjal
110.71,22.56,62.21,6.05,24.99,71.41,141.7,new alluvial,brinjal
92.79,22.18,64.87,5.52,24.23,62.85,155.63,sandy loam,brinjal
79.33,18.72,69.71,6.55,22.64,72.17,167.03,new alluvial,brinjal
130.36,28.8,64.0,6.19,23.46,60.92,130.41,sandy loam,brinjal
96.75,27.31,61.09,6.12,19.61,71.51,166.86,new alluvial,brinjal
90.54,29.48,50.63,6.82,24.98,69.64,166.41,new alluvial,brinjal
88.48,28.46,53.1,6.6,26.0,59.9,127.26,new alluvial,brinjal
108.4,32.46,41.51,6.12,20.69,86.97,158.9,new alluvial,brinjal
69.72,38.08,41.78,6.01,20.73,62.28,196.64,clay loam,brinjal
126.04,27.43,70.8,6.71,20.43,72.72,147.89,sandy loam,brinjal
118.19,24.25,57.75,6.49,20.72,62.77,162.03,new alluvial,brinjal
105.86,21.73,52.91,5.92,21.79,66.19,151.37,new alluvial,brinjal
79.03,39.56,48.64,6.17,24.25,60.82,131.76,sandy loam,brinjal
107.34,31.13,44.75,6.89,23.03,61.4,127.58,sandy loam,brinjal
99.5,35.04,40.17,6.14,22.6,62.99,192.88,new alluvial,brinjal
97.46,26.59,69.18,5.94,21.5,71.27,153.55,sandy loam,brinjal
94.17,26.37,52.62,6.28,22.59,65.91,144.94,new alluvial,brinjal
106.02,37.06,53.56,6.48,23.29,67.18,156.99,sandy loam,brinjal
98.54,27.75,64.06,6.2,22.22,60.95,170.94,sandy loam,brinjal
98.73,23.26,67.55,6.2,22.69,64.14,150.76,new alluvial,brinjal
121.35,12.56,60.79,6.3,23.64,69.03,134.44,sandy loam,brinjal
98.54,25.26,55.82,6.84,24.85,68.41,138.45,new alluvial,brinjal
102.99,29.36,70.39,6.52,23.89,74.94,159.83,sandy loam,brinjal
115.9,25.04,51.6,6.59,17.97,69.44,152.59,sandy loam,brinjal
114.44,40.25,49.2,6.42,22.61,64.71,169.31,sandy loam,brinjal
116.79,21.59,34.64,6.08,23.75,69.98,158.87,sandy loam,brinjal
78.02,35.32,65.11,6.58,22.79,69.04,135.63,new alluvial,brinjal
109.39,35.38,46.44,6.42,24.47,61.3,161.26,sandy loam,brinjal
91.04,27.84,64.38,6.39,25.51,64.87,188.37,sandy loam,brinjal
120.38,32.87,54.75,6.72,22.2,66.65,143.89,new alluvial,brinjal
109.76,28.6,50.66,6.2,20.93,66.61,133.79,sandy loam,brinjal
103.71,31.01,76.67,6.44,23.85,71.77,185.18,new alluvial,brinjal
104.7,32.3,46.33,6.26,22.67,63.49,149.33,new alluvial,brinjal
117.85,34.73,57.15,6.39,20.61,58.65,154.99,sandy loam,brinjal
100.19,27.71,51.72,6.25,21.82,69.03,116.62,new alluvial,brinjal
96.03,35.55,56.91,6.62,23.47,71.04,122.51,sandy loam,brinjal
112.21,35.97,53.5,6.41,22.81,63.51,152.7,new alluvial,brinjal
105.87,31.74,68.84,6.32,24.43,56.0,137.76,new alluvial,brinjal
88.15,33.12,71.55,6.95,27.51,61.11,207.2,sandy loam,brinjal
107.06,34.02,42.29,6.46,21.54,68.41,108.2,new alluvial,brinjal
93.95,35.5,56.03,6.66,24.44,73.63,166.74,new alluvial,brinjal
85.12,26.65,68.99,6.38,24.94,62.23,141.09,new alluvial,brinjal
103.63,32.8,49.89,6.28,22.76,66.01,149.56,new alluvial,brinjal
116.0,27.87,54.55,6.83,22.84,75.44,166.59,new alluvial,brinjal
81.43,26.39,47.62,6.01,27.05,64.14,155.4,new alluvial,brinjal
95.75,29.29,52.15,6.62,23.35,63.87,142.37,new alluvial,brinjal
114.13,31.9,52.91,7.01,23.11,61.51,139.2,sandy loam,brinjal
88.9,29.28,45.12,6.44,25.43,67.69,128.95,new alluvial,brinjal
109.49,31.62,49.03,6.57,20.9,67.65,167.99,sandy loam,brinjal
113.09,27.19,58.37,6.41,23.31,61.64,181.0,new alluvial,brinjal
87.21,26.47,49.85,6.22,22.7,62.33,129.88,new alluvial,brinjal
91.79,24.06,61.05,6.27,20.89,64.4,146.05,new alluvial,brinjal
107.64,29.35,63.94,6.01,22.07,58.55,141.4,new alluvial,brinjal
88.39,25.73,55.15,6.75,24.03,71.72,156.34,new alluvial,brinjal
104.51,24.71,60.21,7.23,23.54,72.2,155.3,new alluvial,brinjal
91.44,32.42,53.92,5.93,25.25,70.28,147.49,new alluvial,brinjal
96.64,32.81,77.09,5.6,26.37,70.68,158.02,new alluvial,brinjal
104.97,37.36,67.03,6.67,24.41,70.25,142.23,new alluvial,brinjal
98.21,38.18,51.62,6.55,20.19,67.13,146.36,sandy loam,brinjal
90.54,27.98,53.06,6.53,23.47,68.45,134.91,new alluvial,brinjal
96.37,32.32,46.09,6.37,22.95,66.74,143.32,new alluvial,brinjal
99.19,36.4,40.45,6.57,21.8,59.52,181.28,sandy loam,brinjal
89.98,32.29,44.17,6.32,21.91,66.69,142.9,new alluvial,brinjal
110.69,28.34,57.26,6.47,22.62,68.37,146.74,new alluvial,brinjal
103.0,31.91,70.93,6.56,20.8,65.98,170.77,new alluvial,brinjal
106.08,30.82,52.28,6.66,20.3,60.98,121.83,sandy loam,brinjal
88.72,22.26,71.24,6.26,22.08,80.13,170.42,new alluvial,brinjal
99.05,31.39,62.64,6.22,24.6,66.68,142.97,sandy loam,brinjal
109.46,26.08,39.61,6.21,24.99,67.82,144.3,sandy loam,brinjal
87.08,24.43,60.24,6.38,23.11,63.27,158.35,sandy loam,brinjal
82.36,30.39,54.34,6.04,21.52,67.61,142.06,sandy loam,brinjal
90.88,26.54,42.61,6.12,24.62,73.17,201.76,new alluvial,brinjal
91.08,38.66,60.8,6.6,22.45,61.87,152.09,new alluvial,brinjal
96.68,24.95,62.25,5.85,23.78,65.79,179.53,sandy loam,brinjal
89.19,33.52,63.69,6.56,25.69,68.03,168.21,new alluvial,brinjal
99.16,32.76,66.54,6.63,21.69,74.24,172.45,sandy loam,brinjal
99.6,34.51,54.68,6.62,23.91,61.23,133.13,new alluvial,brinjal
107.12,30.53,55.67,6.66,22.79,69.22,143.22,sandy loam,brinjal
92.89,27.86,63.6,5.85,23.82,63.71,151.78,new alluvial,brinjal
112.58,21.21,57.47,6.63,22.38,74.58,104.93,sandy loam,brinjal
113.64,26.98,55.3,6.1,22.11,63.62,152.06,sandy loam,brinjal
114.95,31.19,50.67,6.81,22.68,63.82,156.04,new alluvial,brinjal
103.17,26.92,52.0,6.67,18.19,61.09,174.84,sandy loam,brinjal
90.37,36.14,67.02,6.09,22.34,63.13,147.62,new alluvial,brinjal
108.75,21.86,60.2,6.08,20.37,65.8,177.52,new alluvial,brinjal
99.19,22.54,49.81,6.31,24.54,66.85,120.1,sandy loam,brinjal
82.01,28.23,43.6,6.61,23.16,61.0,166.93,new alluvial,brinjal
104.33,27.34,68.05,6.29,21.07,66.67,171.42,sandy loam,brinjal
100.18,31.12,56.9,6.32,21.8,61.52,150.02,new alluvial,brinjal
95.43,31.73,61.57,6.14,23.64,67.91,138.02,new alluvial,brinjal
92.2,22.67,41.72,6.76,24.07,62.25,142.38,new alluvial,brinjal
87.79,24.25,44.78,6.65,25.35,63.08,153.21,new alluvial,brinjal
110.3,30.68,62.85,5.95,25.66,65.64,145.65,new alluvial,brinjal
92.37,21.15,46.94,6.03,24.05,64.25,177.14,new alluvial,brinjal
107.36,36.57,67.47,6.66,25.72,69.04,176.73,sandy loam,brinjal
105.21,34.99,46.8,6.13,24.83,67.39,154.74,new alluvial,brinjal
89.89,31.67,34.35,6.09,22.26,66.46,152.44,new alluvial,brinjal
105.85,27.09,39.89,6.28,23.05,63.47,164.62,new alluvial,brinjal
102.01,22.6,51.74,6.05,23.31,58.83,185.74,new alluvial,brinjal
111.47,26.32,65.67,6.53,22.28,65.2,143.01,new alluvial,brinjal
109.24,23.41,60.59,6.18,23.54,65.96,145.68,sandy loam,brinjal
115.15,20.28,57.59,5.77,23.69,75.16,179.38,new alluvial,brinjal
109.56,25.02,61.52,6.4,23.59,67.4,149.79,new alluvial,brinjal
105.22,28.71,50.19,5.93,21.57,69.56,173.19,new alluvial,brinjal
105.16,24.64,47.04,6.81,22.33,66.28,120.66,new alluvial,brinjal
103.94,25.44,54.75,6.51,18.59,62.52,154.01,sandy loam,brinjal
114.7,25.63,62.94,6.03,23.64,75.01,157.28,new alluvial,brinjal
100.45,20.9,51.28,5.97,22.41,61.94,170.46,new alluvial,brinjal
119.45,34.84,56.59,6.05,21.71,64.32,170.92,new alluvial,brinjal
110.17,23.22,63.4,6.48,22.48,61.52,156.15,new alluvial,brinjal
86.74,24.94,51.92,6.28,21.81,62.3,137.01,sandy loam,brinjal
